Date,Time(s),Power(dB),Temp(K),atennuation(dB)
18:57:22,335.8464171886444,-45.8244,0.091763,3.0
18:57:23,336.8822479248047,-45.824,0.091763,3.0
18:57:24,337.9278898239136,-45.8246,0.091763,3.0
18:57:25,338.96715474128723,-45.8249,0.091763,3.0
18:57:26,340.01247334480286,-45.8248,0.091763,3.0
18:57:27,341.05305457115173,-45.8245,0.091763,3.0
18:57:28,342.0991802215576,-45.824,0.091763,3.0
18:57:29,343.1254897117615,-45.8244,0.091763,3.0
18:57:31,344.15197706222534,-45.8246,0.091763,3.0
18:57:32,345.1896698474884,-45.8247,0.091763,3.0
18:57:33,346.2412769794464,-45.8241,0.091763,3.0
18:57:34,347.2879796028137,-45.8245,0.09209,3.0
18:57:35,348.33022356033325,-45.8244,0.09209,3.0
18:57:36,349.3749670982361,-45.8241,0.09209,3.0
18:57:37,350.42999839782715,-45.824,0.09209,3.0
18:57:38,351.4621286392212,-45.8245,0.09209,3.0
18:57:39,352.50391960144043,-45.8249,0.09209,3.0
18:57:40,353.5502278804779,-45.8249,0.09209,3.0
18:57:41,354.58581495285034,-45.8251,0.09209,3.0
18:57:42,355.6255536079407,-45.824,0.09209,3.0
18:57:43,356.6612319946289,-45.8246,0.09209,3.0
18:57:44,357.70935010910034,-45.8256,0.09209,3.0
18:57:45,358.7451913356781,-45.8251,0.09209,3.0
18:57:46,359.79105591773987,-45.8247,0.09209,3.0
18:57:47,360.823650598526,-45.8246,0.09209,3.0
18:57:48,361.8652653694153,-45.8246,0.09209,3.0
18:57:49,362.9044075012207,-45.8251,0.09209,3.0
18:57:50,363.9515686035156,-45.8245,0.09209,3.0
18:57:51,365.0016622543335,-45.8249,0.09209,3.0
18:57:52,366.0464823246002,-45.8247,0.09209,3.0
18:57:53,367.08683133125305,-45.8244,0.09209,3.0
18:57:55,368.1290044784546,-45.8246,0.09209,3.0
18:57:56,369.1701281070709,-45.8244,0.09209,3.0
18:57:57,370.2144455909729,-45.8246,0.09209,3.0
18:57:58,371.2572009563446,-45.8244,0.09209,3.0
